Act_Name, Year, File_Name,
Court Fees (Haryana Amendment) Act, 1990,	
Haryana General Sales Tax (Amendment and Validation) Act, 1984,	
Haryana Shri Mata Mansa Devi Shrine Act, 1991,	
Punjab General Clauses Act, 1898,	 1995_D_45.txt	 1959_G_10.txt	 1967_T_5.txt	 2017_U_12.txt	 1971_S_142.txt	
Haryana Industrial Estates (Development and Regulation) Act, 1974,	
Indian Electricity (Haryana Amendment) Act, 1998,	 2008_S_1395.txt	
Haryana Registration and Regulation of Societies Act, 2012,	
Code of Criminal Procedure (Haryana Amendment) Act, 1981,	
Kurukshetra University Act, 1986,	 2003_K_159.txt	 1998_J_50.txt	 2002_K_143.txt	
Haryana General Sales Tax (Second Amendment) Act, 1991,	
Haryana Lokayukta Act, 2002,	 2013_J_15.txt	 2017_S_328.txt	
Haryana Motor Vehicles Taxation (Amendment) Act, 2018,	
Punjab Registration of Money-lender's Act, 1938 (as applicable to Haryana),	
Dowry Prohibition (Haryana Amendment) Act, 1976,	
Haryana Validation of Octroi and Surcharge Act, 1980,	
Indian Electricity (Haryana Amendment) Act, 1987,	
